function	S1_S16	S2_S16	S3_S16	S4_S16	S5_S16	S6_S16	S1_m	S2_m	S3_m	S4_m	S5_m	S6_m
K00437	0	0	0	0	0	0	0	5	0	5	0	6
K00441	101.2	98.2	96.2	197.6	33	28.1	35	40	39	36	36	41
K00446	164.78	222.42	172.43	474.29	137.28	106.54	92	235	101	211	94	239
K00448	4621.72	5663.8	6246.78	5535.14	8517.07	8198.5	9330	7740	10263	6966	9517	7894
K00449	4470.72	5439.14	6176.01	5646.45	8457.27	7884.55	9093	7590	10002	6831	9275	7742
K00450	296.57	338.36	393.73	589.35	501.36	312.78	442	436	487	393	451	445
K00451	2922.01	5511.89	5575.92	5260.27	7721.38	7375.77	8667	7261	9533	6535	8840	7406
K00452	123.84	992	437	375.55	398.5	377.84	220	342	242	308	224	349
K00453	2198.22	3425.72	5609.95	3582.09	2083.15	1537.83	1908	2099	2099	1889	1946	2141
K00455	757.42	1500.73	2328.57	1390.56	839.73	651.29	932	658	1025	592	951	671
K00456	23.5	36	54	107	28	12	26	41	29	37	27	42
K00457	8205.54	11055.59	12986.46	11217.95	16095.83	15166.57	17596	14936	19355	13443	17948	15235
K00459	10408.4	11827.78	14797.08	13723.93	11886.89	10580.42	12302	12059	13532	10853	12548	12300
K00461	7	0	18	10	4	7	1	2	2	2	2	3
K00462	0.5	0	0	17.5	184	84	105	60	116	54	108	62
K00463	23	15	10	13.5	5	1	6	6	7	6	6	7
K00464	63	93	84	169.5	23.5	29.5	28	21	31	19	29	22
K00466	2809.68	4272.99	5683.76	4839.1	7222.26	7041	8460	6922	9306	6230	8630	7060
K00467	60.67	63	177	137.33	24	33.67	14	158	16	143	15	161
K00469	54	92	162.5	147.49	50.67	52.67	22	80	25	72	23	81
K00471	585.2	1167.77	1743.55	877.72	325.37	300.42	428	326	471	294	437	333
K00472	966.03	2390.33	2298.93	949.44	762.53	427.35	556	876	612	789	568	894
K00476	35.5	875	127	35	15	5.5	4	0	5	0	5	0
K00477	60.33	53.17	134	117.33	69.34	54.33	59	77	65	69	61	79
K00479	2144.91	2982.58	4327.12	3752.92	6892.35	6517.08	7749	6231	8524	5608	7904	6356
K00480	2195.28	2439.19	4467.07	2695.08	2651.66	1840.5	2266	2067	2492	1861	2311	2109
K00481	4591.8	5047.33	7088.22	4858.47	8159.93	7426.18	8731	7581	9604	6823	8905	7733
K00483	1162.35	1706.88	1924.19	1825.56	608.65	555.9	778	741	856	667	793	756
K00484	577.81	1264.9	1768.61	864.43	326.66	301.09	401	311	441	280	409	317
K00485	5	183	0	3	0	0	0	0	0	0	0	0
K00486	151.17	1170	456	350.58	351	371.84	189	325	208	293	193	332
K00491	392.65	128	299.9	563.74	73.59	28	56	100	62	90	57	102
K00493	63.5	19	91.5	120.17	64.8	35	52	38	57	34	53	39
K00494	1	0	0	0	0	0	0	0	0	0	0	0
K00496	2716.23	3125.32	2640.09	1984.77	1061.98	940.77	1154	1150	1270	1035	1178	1173
K00499	1978.34	1713.01	966.1	1740.48	580.3	707.39	628	1110	691	999	641	1132
K00500	3011.72	5358.05	6879.9	4160.62	7690.97	7121.29	8303	7170	9133	6453	8469	7314
K00501	16	29	33	94	23	4	21	37	24	34	22	38
K00504	5	0	0	3	0	0	0	0	0	0	0	0
K00505	1008.53	2115.57	3139.5	1219	942.75	807.5	1164	802	1280	722	1187	818
K00507	6087.68	8481.06	5965.52	5865.36	3004.24	2647.57	2487	3967	2736	3570	2537	4046
K00508	3273.34	4331.21	1951.88	2850.09	1257.47	1217.75	1323	1473	1455	1326	1349	1503
K00510	174.34	137.75	543.75	581.17	1801.38	3144.5	2171	2191	2388	1972	2215	2235
K00511	12.5	10	18.33	20.65	4	7.67	2	3	3	3	3	3
K00514	30	12	2.5	36	5.5	11	3	17	3	16	3	18
K00517	844.35	661.43	1033.21	2285.11	450.35	374.79	345	875	380	788	352	893
K00518	110.5	36	153.5	403.5	38.97	39	59	70	65	63	60	71
K00520	466.32	721.98	584.21	619.63	449.26	546.21	496	629	546	567	506	642
K00523	3008.39	4625.39	6827.41	4265.45	7475.65	6853.74	8272	7262	9099	6536	8438	7407
K00524	5.5	0	0	0	0	0	2	0	3	0	3	0
K00525	8634.72	12221.82	13701.31	11505.72	12493.72	12551.68	12610	13154	13871	11839	12862	13417
K00526	7147.54	9705.99	11528.83	10355.58	11710.08	12363.77	12491	11887	13740	10698	12741	12124
K00527	780.15	802.66	1475.36	1358.77	2286.88	3533.03	2580	2708	2837	2437	2631	2762
K00528	10417.59	12755.1	14221.58	12166.95	18304.11	18791.76	20314	17898	22346	16108	20721	18256
K00529	4813.91	5245.4	4393.08	5191.24	7114.06	6276.04	7423	6145	8166	5531	7572	6268
K00531	4	0	0	10	3	0	0	1	0	1	0	2
K00532	0	0	0	0	0	1	0	0	0	0	0	0
K00533	5.78	3.89	2.11	0.33	0	1	0	0	0	0	0	0
K00534	30.78	4.39	27.61	85.83	11.5	6.5	18	22	20	20	18	22
K00537	10257.67	11400.18	12718.75	12166.19	15800.42	14651.67	16465	15000	18111	13500	16794	15300
K00543	2	6	0	1	1	1	0	0	0	0	0	0
K00544	50.5	15	42	184.5	7	0	1	0	2	0	2	0
K00545	6	3	0	16.5	4	2	2	7	3	6	3	7
K00547	876.33	631.79	635.17	1458.58	217.04	145.69	147	376	162	339	150	384
K00548	8115.94	11033.23	12647.98	10631.74	11926.98	12218.41	12420	12442	13662	11198	12668	12691
K00549	7182.48	9724.62	9911.76	10538.3	11922.37	12873.04	13171	12386	14488	11147	13434	12633
K00554	7270.28	9526.36	10605.25	9575.45	11548.43	11962.44	12074	11931	13281	10738	12316	12170
K00555	18.5	30	11	34.5	32	1	4	34	5	31	5	35
K00556	375.58	685.38	475.57	960.69	205.09	334.45	387	332	425	299	394	339
K00557	4406.5	5308.56	5150.75	4691.36	7141.8	6961.85	8105	6627	8916	5964	8267	6760
K00558	5702.92	7593.64	9033.76	7851.67	14340.98	15039.77	15896	14035	17486	12631	16214	14316
K00559	0	0	8	0	0	0	0	0	0	0	0	0
K00560	7765.87	9967.52	11469.36	9857.47	16476.31	16787.95	17801	15800	19581	14220	18157	16116
K00561	169.67	36.5	95.75	182	38.33	22.33	26	31	29	28	27	31
K00563	4552.72	5525.08	5377.89	5458.98	7336.26	7185.4	8321	7090	9153	6381	8487	7232
K00564	6936.11	9664.75	10480.88	9794.03	16353.35	17212.69	18365	15641	20202	14077	18732	15953
K00566	7358.91	9712.36	10434.92	9491.7	11180.76	11600.94	11711	11547	12882	10392	11945	11778
K00567	7359.27	9210.81	10802.76	9934.8	12592.68	13057.7	13330	13121	14663	11809	13597	13384
K00568	7189.15	9558.18	12089.53	7552.24	9701.21	8664.96	9733	9011	10706	8110	9927	9192
K00569	1108.42	2880.72	2741.6	2299.28	1173.19	1193.77	1476	1540	1623	1386	1505	1570
K00570	540.87	561.83	582	763.44	418.63	230.8	128	186	141	168	131	190
K00571	937.78	995.92	1227.15	1750.19	558.54	259.68	273	800	300	720	279	816
K00573	5595.67	8765.86	11942.42	8588.07	11027.71	10833.32	10744	10954	11819	9859	10959	11173
K00574	10283.61	14702.05	16952.98	11974.64	17599.37	16030.92	18155	16542	19970	14887	18518	16872
K00575	8468.55	13191.18	17401.14	13871.06	22677.84	21973.51	25107	22007	27617	19806	25609	22447
K00577	14	30	11	34	32	1	4	34	5	31	5	35
K00586	14	30	11	34	32	1	4	34	5	31	5	35
K00587	1	4	0	8	0	0	2	4	3	4	3	5
K00588	115.66	131.67	205.49	321.34	42.45	52.49	52	115	57	103	53	117
K00590	2.14	0.14	0	5.79	1.29	0.14	2	4	3	3	3	4
K00594	119.5	101.17	259.5	382.32	687.5	1026.67	1108	984	1218	886	1130	1004
K00595	3047.16	3693.41	6634.74	4341.73	7336.75	6722.8	7934	6690	8727	6021	8092	6824
K00596	111.58	67	89.75	208.67	104	101.67	129	181	142	163	132	184
K00598	1742.76	1960.25	4536.08	2967.58	1907.09	1542.51	1847	2120	2032	1908	1884	2163
K00600	10229.03	13276.56	16840.01	15577.33	18532.65	18788.25	20270	18746	22297	16872	20675	19121
K00601	9	4	10	7	2	0	3	4	4	4	4	5
K00602	7323.28	9596.36	10426.67	9889.45	11261.76	11755.69	11827	11748	13010	10573	12064	11983
K00603	91	172.92	88	257.5	55	45.25	41	159	45	144	42	163
K00604	8878.02	11948.8	13005.41	12501.27	12374.16	12699.68	13046	12858	14351	11573	13307	13115
K00605	7844.62	10809.11	13865.61	12240.01	17244.71	17295.58	18765	16958	20641	15262	19140	17297
K00606	7748.88	10389.25	12060.1	10289.97	11588.24	12060.48	12190	11699	13409	10529	12433	11933
K00608	0	0	0	0	0	2.5	0	3	0	3	0	4
K00609	7269.98	9576.19	10361.09	9534.66	11296.63	11650.14	11806	11637	12987	10473	12042	11869
K00610	183.56	252.71	194.16	551.47	71.29	72.88	29	68	32	61	29	69
K00611	4882.24	6696.71	9093.03	9632.35	10776.54	11609.78	11952	11565	13147	10408	12191	11796
K00612	2806.46	4305.82	5486.39	5480.53	7263.6	7124.91	8299	7139	9129	6425	8465	7281
K00613	483.9	915.4	820	795.91	261	250.5	350	278	385	250	357	283
K00615	12638.18	17941.5	18122.38	17523.65	24921.84	24617.01	26903	24142	29594	21728	27442	24624
K00616	7424.85	10595.79	10536.94	10240.13	11337.99	11730.25	11896	11576	13086	10418	12134	11807
K00619	882.1	1217.09	1733.85	1688.85	2243.56	3507.19	2605	2900	2865	2610	2657	2958
K00620	6610.44	7052.68	9157.4	8808.93	10748.34	11282.57	11437	11312	12580	10181	11665	11539
K00621	14	30	11	34	32	1	4	34	5	31	5	35
K00622	5.5	3	0.25	16.5	4	2	2	6	2	6	2	7
K00624	52	17.33	50.25	100	6.83	4	8	12	9	11	9	12
K00625	1523.11	1215.05	2843.61	1907.06	1008.6	576.32	582	1275	640	1148	593	1300
K00626	30399.9	34431.24	43241.13	35626.17	36491.36	34409.35	37827	37159	41610	33443	38584	37902
K00627	12005.89	15682.34	17011.06	15788.68	19702.1	19920.55	21377	19782	23514	17804	21804	20178
K00630	0	0	16	0	0	0	0	0	0	0	0	0
K00631	4829.96	6739.06	5930.7	5704.49	7934.4	7956.82	8884	7587	9772	6828	9061	7738
K00632	8116.28	11356.77	12470.65	11075.91	12535.72	12938.1	13587	12497	14946	11248	13859	12747
K00633	141.46	174.45	97.37	686.74	117.5	196.07	128	204	140	184	130	208
K00634	316.21	84.67	170.84	796.91	97.92	27.92	30	54	33	48	31	55
K00635	2393.5	2093.71	919.57	1494.91	522.33	528.11	528	590	581	531	539	602
K00638	2444.68	2223.91	937.74	1264.46	606.26	565.22	510	554	561	499	520	566
K00639	1851.66	3998.03	2377.41	3932.3	1550.83	1468.51	1491	1759	1640	1583	1521	1794
K00640	12928.74	15902.58	21054.6	15243.39	24580.57	24216.6	26926	23891	29619	21502	27465	24369
K00641	6732.46	9131.41	10028.84	8720.19	11144.27	11779.1	11858	11222	13044	10099	12096	11446
K00643	546.12	409.75	730.33	847.61	427.97	242.55	148	147	162	133	151	150
K00645	7413.05	9825.47	10612.5	10297.43	11795.77	12185.53	12162	12089	13378	10880	12405	12330
K00646	6.2	0.4	14	19.33	1.5	25	3	5	3	4	3	5
K00647	9158.77	14611.88	14992.87	11762.56	16833.87	16327.29	18487	16241	20336	14617	18857	16566
K00648	9228.92	12739.02	18113.54	14014.36	25618.03	27245.03	28643	25426	31508	22883	29216	25934
K00651	534.95	1392.9	637.63	1144.44	444.32	387.98	161	418	178	377	165	427
K00652	6737.03	8477.73	9263.83	8391.71	8836.55	8216.77	9334	8893	10268	8004	9521	9071
K00655	12259.29	16472.78	21289.43	19116.86	23152.11	24534	25395	24478	27934	22030	25903	24968
K00656	632.62	604.47	936.27	1278.6	1894.7	3299.15	2168	2362	2385	2126	2211	2409
K00657	1838.51	1454.46	1058.48	1808.8	918.4	1130.43	1204	1132	1324	1019	1228	1154
K00658	7438.85	10046.15	10793.8	10285.41	11321.2	11824.4	12065	11606	13271	10445	12306	11838
K00661	889.77	1551.33	1572.08	2493.21	2852.8	4366.56	3208	3917	3528	3526	3272	3996
K00662	62.68	10.25	101.75	74.91	36.8	16.5	27	38	29	35	27	39
K00663	215.5	187	232.5	555.25	132.64	107.5	127	213	140	192	130	218
K00666	15827.32	17592.56	23094.77	21130	16402.72	14370.9	17472	18203	19219	16383	17821	18567
K00672	70.37	45.67	141.49	167.14	220.17	105.01	120	139	132	125	123	142
K00673	8059.97	9985.1	11035.38	9841.61	14165.87	13583.56	16181	13195	17799	11876	16505	13459
K00674	6560.98	8681.03	9629.03	8257.88	10759.3	11422.61	11584	10958	12742	9862	11815	11177
K00675	1142.15	3075.6	3003.77	1931.38	837.82	740.63	1095	858	1205	773	1117	876
K00677	6439.11	8782.73	9451.66	7641.86	9233.15	8417.32	9454	9045	10399	8141	9643	9226
K00680	10138.43	9211.98	4803.39	7126.21	3231.31	3538.37	3285	3830	3613	3447	3351	3907
K00681	9822.97	13433.36	16901.83	15847.36	12939.66	12669.64	13062	13650	14368	12285	13323	13923
K00682	10	15	0	3	3	0	2	1	3	1	3	2
K00683	38.42	871	130	74.25	19.08	3.5	3	5	4	5	4	5
K00684	6382.52	8608.73	9081.07	7608.44	9039.2	8287.05	9400	8638	10340	7774	9588	8811
K00685	5677.29	7208.52	8253.75	6146.54	8571.57	7835.68	8922	8101	9814	7291	9100	8263
K00686	12.5	19.5	41.25	7.75	7.5	1	12	16	13	15	12	17
K00687	132.9	52.88	108.95	123.2	41.56	14.3	24	180	27	162	25	184
K00688	3757.4	5322.08	6741.14	7548.01	9694	10642.52	10864	10249	11950	9224	11081	10454
K00689	7.79	19	41.33	5.25	11	9	11	1	12	1	11	2
K00690	118.26	74.72	105.82	415.6	642	995.7	1039	765	1143	689	1060	781
K00691	82.47	110	257.58	175.56	79.67	115	44	316	49	284	45	322
K00692	495.8	770.4	787.7	826.58	305.77	289.16	411	365	452	329	419	373
K00693	35.33	54	98	56.16	16.17	39.67	11	128	12	116	11	131
K00694	598.93	937.9	1917.36	2380.24	1781.77	2814.01	1552	2177	1707	1960	1583	2221
K00695	21.5	26	1	23.5	1.5	1.5	2	4	3	4	3	5
K00696	35.7	68.5	105	73	34.75	9.83	11	39	12	35	11	40
K00697	3170.4	2623.42	2337.78	3773.41	3005.45	4044.93	2885	3177	3174	2859	2943	3240
K00700	3541.36	5580.07	6686.38	7130.71	9919.95	10818.17	11079	10364	12187	9328	11301	10572
K00701	6	0.5	0	11	0	2.5	5	2	6	2	6	3
K00702	13	35.67	359	152	1067	2100	995	1311	1095	1180	1015	1338
K00703	3608.51	6356.9	6486.86	6806.78	8085.56	7693.74	9051	8131	9957	7318	9232	8293
K00705	3157.21	4593.73	5876.46	5878.01	8920.53	10090.24	10183	9406	11201	8466	10387	9594
K00712	678.8	187.05	356.2	961.2	113.32	53.3	58	44	64	39	60	44
K00713	0.29	0	0	0.14	0	0	0	0	0	0	0	0
K00720	222.57	116	321.16	459.65	129.3	112.49	55	137	61	124	56	140
K00721	2144.19	5065.34	4042.56	4528.72	3813.97	4904.37	4290	4917	4719	4425	4376	5015
K00729	1	0	0	6.17	0.47	1	1	3	1	3	1	3
K00737	1	8.25	2	5	1	0.62	1	1	1	1	1	2
K00745	0.17	0	3.33	0	0	0	8	0	9	0	8	0
K00748	6441.61	8935.73	9329.91	7571.86	9129.65	8348.57	9424	8836	10366	7952	9612	9013
K00750	0	2.67	0	0	0	0	0	0	0	0	0	0
K00752	56.33	133.75	87.66	147.15	64.63	49.65	26	118	29	106	27	120
K00754	2089.7	1802.38	1541.15	1936.64	1018.68	1133.31	1199	1302	1319	1172	1223	1328
K00756	608.71	577.39	608.33	1050.51	217.49	136.54	117	598	129	538	119	610
K00757	457.03	1286.16	503.1	1001.73	265.91	343.19	416	277	457	249	424	282
K00758	842.4	696.39	1343.89	2124.49	2350.07	3604.71	2469	2734	2715	2460	2518	2788
K00759	5446.18	8094.53	9419.72	8174	10553.05	11223.08	11212	10969	12333	9872	11436	11188
K00760	6192.39	8387.19	8018.99	8371.67	10435.81	11153.77	11221	10587	12344	9528	11446	10799
K00761	6713.2	8735.03	9697.59	8492.38	10813.54	11412.29	11596	10885	12756	9797	11828	11103
K00762	7708.78	9830.19	11960.34	9622.37	11483.09	11568.11	11663	11964	12829	10768	11896	12203
K00763	8022.93	10442.31	12975.12	10350.06	11685.67	12128.06	12642	11911	13906	10720	12895	12149
K00764	8697.88	10852.03	12076.2	11108.38	16796.29	16988.4	17994	16395	19793	14756	18354	16723
K00765	7245.58	9500.45	10247	9434.62	11134.6	11573.44	11695	11374	12864	10237	11929	11602
K00766	7281.57	9510.99	10347	9740.04	11225.8	11708.2	11819	11878	13001	10691	12056	12116
K00767	6892.37	9292.32	10094.56	9270.21	11096.98	11678.81	11765	11415	12941	10273	12000	11643
K00768	5469.14	6032.63	8003.76	6881.04	8417.04	7830.64	9184	8242	10103	7418	9368	8406
K00769	466.2	444.38	544.99	863.58	361.26	300.51	136	189	149	170	139	193
K00772	2700.48	3715.24	4097.66	3587.74	6452.77	5962.15	7048	5902	7752	5311	7189	6020
K00773	7142.62	9490.86	9887.99	8817.79	9478.63	8501.1	9572	9353	10529	8418	9763	9540
K00782	2119.93	3196.08	3740.63	3274.18	6832.67	6835.93	8003	6344	8803	5710	8163	6471
K00783	6818.27	8883.86	9300.01	8744.82	9222.38	8450.77	9542	8981	10496	8083	9733	9161
K00784	2856.55	3101.04	2057.86	4186.17	1104.34	1273.65	1375	1777	1512	1599	1402	1812
K00785	7	1.25	19.5	6.89	4.5	0.5	1	2	1	2	1	2
K00786	132.83	98.92	297.6	292.33	167.14	107.46	154	204	170	184	157	209
K00788	7779.33	10083.08	10650.86	10819.17	10705.95	10713.93	10817	10443	11898	9399	11033	10652
K00789	7354.78	9553.78	10404.3	9631.58	11207.9	11598.06	11726	11624	12898	10462	11960	11857
K00790	7923.36	9971.41	10982.86	10879.9	12115.11	12830.48	13051	12849	14356	11564	13312	13106
K00791	7302.11	10142.36	10451.67	9536.61	11211.43	11636.69	11721	11565	12893	10409	11956	11797
K00793	7957.67	10285.61	10599.87	10413.31	11594.72	12178.39	12265	12186	13491	10968	12510	12430
K00794	9870.28	12836.7	16416.88	12291.88	18306.71	18031.96	19538	17749	21492	15974	19929	18104
K00795	3972.12	4524.65	4223.93	3621.08	2032.71	1561.04	1337	1979	1470	1781	1363	2018
K00796	7611.32	9797.11	11013.67	10590.03	13161.31	14795.61	13951	13884	15347	12496	14230	14162
K00797	2872.78	4513.11	5593.59	3993.4	7378.82	6677.17	7632	6972	8395	6275	7784	7112
K00798	6364.91	8345.04	9341.78	7679.95	9088.41	8295.76	9473	8956	10420	8060	9662	9135
K00799	43259.16	57055.17	58892.82	48098.11	61408.57	56751.37	64983	56719	71482	51047	66283	57854
K00800	8517.31	11485.9	13576.31	10768.46	17036.74	17086.04	18313	16471	20144	14824	18679	16800
K00801	295.34	264.83	270.33	485.82	133.59	68.67	61	169	67	152	62	172
K00803	995.79	1538.29	1923.18	1831.8	1398.99	1566.49	1905	1706	2096	1536	1943	1740
K00805	757.18	353.17	1062.37	1678.22	2044.7	3226.66	2325	3018	2557	2716	2371	3079
K00806	7306.14	9591.03	10464.41	9534.78	11179.4	11614.26	11717	11607	12888	10447	11951	11839
K00808	727.17	952.5	1103.86	1079.77	558.47	404.13	454	384	499	346	463	392
K00809	736.08	1663.17	1081.31	1555.12	613.77	465.81	540	960	594	864	551	979
K00812	6909.14	10472.01	10272.14	7680.22	13618.35	12629.84	14642	11863	16106	10677	14935	12100
K00813	188.68	404.77	196.02	499.97	81.79	143.63	39	80	43	72	40	81
K00816	0	0	0	0	0	0	0	1	0	1	0	2
K00817	11932.59	14947.91	20305.92	15679.9	21873.31	22450.97	22821	21640	25103	19476	23277	22073
K00818	6231.13	7843.14	9076.71	6393.48	10150.3	10829.49	11198	10545	12317	9491	11421	10756
K00819	1302.09	1658	2211.06	2355.62	2145.85	3459.84	2573	2578	2830	2320	2624	2629
K00820	8647.19	12470.06	13507.14	12122.11	12665.09	12831.61	13046	12956	14350	11661	13307	13215
K00821	3932.29	7035.1	8215.82	7404.99	8771.15	8314.43	9495	8588	10445	7729	9685	8759
K00822	4843.31	5114.89	7600.14	5259.94	8671.72	7945.53	9128	7868	10040	7081	9310	8026
K00823	2883.91	3171.65	2692.75	2464.3	900.06	834.26	762	1075	838	968	777	1097
K00824	994.43	673.34	1067.39	1489.1	848.01	478.96	476	762	524	686	486	777
K00826	8622.51	13255.7	12654.65	12182.1	13977.7	15500.15	14719	15087	16191	13579	15013	15389
K00827	3	0	13	5	1	0	3	23	4	21	4	24
K00830	495.88	688.82	706.77	831.65	486.87	281.51	334	405	367	365	340	414
K00831	6534.41	8791.53	9859.09	8373.08	10996.01	11555.11	11692	11226	12861	10103	11926	11450
K00832	7390.91	9581.39	12090.12	9070.92	14901.81	14135.23	16570	14133	18227	12720	16902	14416
K00833	6367.28	7971.31	8930.66	8063.2	8777.16	8215.72	9318	8780	10250	7902	9504	8956
K00835	232.48	429.46	214.41	592.39	68.96	108.96	49	44	54	40	50	45
K00836	6916.22	8308.06	9326.53	7836.02	18607.25	18017.47	21087	16800	23196	15120	21509	17136
K00839	312.37	279.83	163.54	623.2	60.25	68.54	37	206	41	185	38	210
K00840	3051.94	2289.41	931.41	1523.28	215.62	129.22	62	229	68	206	63	234
K00841	449.6	264.88	233.85	842.95	108.18	44.8	41	201	45	181	42	205
K00842	2.33	2.33	0	0.33	1	1	0	1	0	1	0	2
K00844	0	5	10	2	1	3	0	1	0	1	0	2
K00845	5476.6	10385.78	9244.93	11632.57	12404.3	13540.96	13721	13208	15093	11887	13996	13472
K00846	0	0	0	1	11	0	0	0	0	0	0	0
K00847	4018.22	6488.99	7319.12	6915.15	9780.21	10701.25	10489	9988	11538	8989	10699	10187
K00848	265.68	308.3	511.32	743.9	778.79	1097.96	1133	1220	1246	1098	1155	1244
K00849	1079.37	1668.74	1644.8	2552.56	2334.83	3642.6	2745	3268	3019	2942	2799	3334
K00850	2790.76	5108.6	5327.02	4802.16	3824.57	4595.03	3500	5032	3850	4529	3570	5133
K00851	5274.19	6696.03	8373.56	6656.2	9852.15	10416.55	10744	9865	11818	8878	10958	10062
K00852	3819.87	5409.92	6419.46	7477.96	9825.86	10602.84	10711	9742	11782	8768	10925	9937
K00853	829.57	1170.69	817.52	1497.99	942.63	1253.8	1316	1218	1448	1096	1343	1242
K00854	4865.96	8145.42	10467.19	7444.68	15770.98	16282.39	17257	14560	18982	13104	17602	14852
K00855	525.21	715.77	531.44	1224.31	369.29	288.47	257	329	283	296	262	335
K00856	970.86	1573.17	2637.92	1374.67	1112.34	698.17	747	1274	822	1147	762	1300
K00857	1536.46	3087.74	2133.53	3284.92	2760.5	4086.42	2973	3378	3270	3041	3032	3446
K00858	7476.46	9753.86	10528.59	10097.54	11310.59	11627.27	11774	11728	12951	10555	12009	11963
K00859	7254.28	9505.36	10330.42	9412.45	11160.76	11574.44	11707	11487	12878	10338	11941	11717
K00860	3775.24	5207.57	6073.77	5640.02	7309.25	7015.91	8308	6806	9139	6125	8475	6942
K00861	90	201	56	36	17	0	1	1	2	1	2	2
K00862	133.77	44	106.66	229.87	64.27	48.43	27	34	30	30	28	34
K00863	947.53	650.25	805.91	1197.46	247.36	200.82	172	176	189	159	175	180
K00864	7318.23	9272.42	10864	10092.27	11506.09	11953.47	12317	11686	13549	10517	12564	11920
K00865	5658.37	5852.5	6610.98	7550.93	9376.27	10380.04	10486	9902	11535	8912	10696	10100
K00867	683.66	1277.1	1161.83	1492.12	2283.2	3464.91	2320	2595	2552	2335	2366	2646
K00868	3109.74	4787.18	5796.5	5184.88	8747.72	8946.74	10132	8365	11146	7528	10335	8532
K00869	500.27	398.21	474.94	712.52	200.61	203.2	210	367	231	330	215	374
K00870	0	0	1.5	0	0	0	0	0	0	0	0	0
K00872	1423.76	3100.07	2077.37	3448.99	2730.02	3906.69	2940	3455	3234	3110	2999	3524
K00873	6282.69	9601.64	12518.72	11543.37	12010.54	12446.87	12867	12706	14154	11435	13125	12960
K00874	2219.8	3543.85	4567.75	4776.69	4177.52	5284.78	4107	4607	4518	4146	4189	4699
K00875	58	57	78.66	100.67	83.34	45.99	31	33	34	30	31	34
K00876	1241.03	1991.57	1814.61	2763.01	2851.75	4538.67	3531	3752	3884	3377	3602	3827
K00878	3012.9	3544.81	1477.97	2560.64	799.34	749.68	649	686	713	617	662	699
K00879	15.6	31.05	21.54	12.13	12.59	22.54	3	2	4	2	3	3
K00880	146.4	106.14	113.53	272.15	112.22	116.57	122	76	134	68	124	77
K00881	94	35.75	49.88	185.13	5	27.12	10	5	11	5	11	6
K00882	4337.16	4893.72	5896.63	6117.81	8814.64	9891.71	10024	9243	11027	8319	10225	9428
K00883	2272.73	3975.44	4498.09	3278.17	7076.23	6395.44	7555	5680	8311	5112	7706	5793
K00884	269.39	302.76	324.65	739.71	423.46	442.55	249	244	274	220	254	249
K00885	86.51	67.71	46.34	164.2	26.16	51.38	12	11	13	10	12	11
K00886	318.42	233.17	1178.24	1173.58	3613.02	6309.99	4277	4544	4705	4089	4363	4635
K00887	305.42	819.88	300.43	644.17	124.68	76.89	41	242	45	218	41	247
K00889	0	0	1.5	0	0	0.67	0	16	0	15	0	17
K00891	7296.24	9462.82	10377.92	9691.03	11136.24	11596.76	11690	11447	12859	10303	11924	11676
K00892	169.51	397.94	128.19	450.68	33.29	98.63	27	32	30	29	28	33
K00895	83.5	72.17	499.25	365.83	1757.17	3134.25	2107	2201	2318	1981	2149	2245
K00897	18.17	28.25	329.08	196	1090.5	2108.17	1034	1338	1137	1204	1055	1365
K00899	126.6	275.99	137.75	383.78	27.5	62.66	42	93	46	84	43	95
K00901	6069.48	7841.52	8730.59	7004.03	8744.79	8168.56	9299	8394	10229	7554	9485	8562
K00906	2802.6	3730.1	6377.29	3718.59	7459.43	6905.19	8122	6836	8934	6152	8284	6973
K00912	6292.81	8714.73	9228.41	7359.36	9037.35	8260.07	9363	8779	10299	7901	9550	8954
K00917	301.84	1182.91	353.3	685.78	117.13	69.62	101	403	111	363	103	411
K00918	10	0	55	73	628	941	1036	751	1140	676	1057	767
K00919	7033.3	9213.23	9955.48	9122.68	11038.9	11369.82	11521	11304	12673	10174	11751	11530
K00924	3447.63	3028.41	3605.11	2856.21	1619.42	1120.4	1278	2177	1405	1959	1303	2221
K00925	4583.63	4528.57	5075.57	5095.4	3782.64	4472.96	3383	4556	3721	4100	3451	4647
K00926	1565.74	2089.67	2949.82	2869.92	1260.32	1254.18	1548	2069	1703	1862	1579	2111
K00927	7290.28	9541.36	10377.09	9512.79	11206.26	11598.11	11717	11592	12888	10433	11951	11824
K00928	7785.02	9883.51	10746.75	10535.01	11231.24	11531	11973	11720	13170	10548	12212	11955
K00929	264.68	83	115.75	535.57	36.25	3.75	15	28	17	25	16	29
